,2000s,2010s,1990s,1970s,1980s
bananas,120,83,3,3,0
band,3243,1202,186,72,28
bandana,74,56,0,0,0
bandit,215,86,11,0,2
bands,505,679,14,5,1
bane,76,41,3,0,0
bang,4389,3362,158,8,40
banged,110,45,3,0,1
banger,122,99,2,0,0
bangin,563,195,14,0,3
banging,349,258,3,0,1
bangs,76,53,0,0,0
banish,106,25,2,1,2
banished,132,27,3,0,1
banjo,124,61,14,0,1
bank,1452,996,58,10,13
banker,87,37,8,0,1
bankroll,57,61,1,0,0
banks,552,250,12,1,4
banned,166,35,0,2,2
banner,300,117,5,0,1
banners,84,25,4,0,2
baptized,163,67,8,0,2
bar,2965,1596,115,26,38
barbara,167,20,4,35,0
barbecue,87,43,5,2,1
barbed,185,56,9,0,3
barber,99,53,4,0,6
barbie,192,67,1,1,0
barbra,103,15,2,0,0
bare,1296,568,39,6,9
barefoot,233,92,11,2,9
barely,1471,967,34,5,6
bargain,155,84,7,2,0
bark,411,180,11,2,2
barkin,80,38,6,0,0
barking,143,60,7,1,2
barley,97,47,6,0,0
barn,203,72,12,1,2
barred,94,23,6,1,4
barrel,644,238,29,5,3
barrels,98,31,1,0,1
barren,269,72,6,1,1
barricades,90,27,7,0,0
barrier,87,30,2,2,3
barriers,146,42,5,0,2
barroom,91,18,9,1,1
barrow,102,24,3,1,0
barry,140,74,1,0,0
bars,1353,852,44,20,19
bartender,207,144,18,8,3
base,591,454,41,6,2
baseball,333,118,14,0,0
based,357,140,1,2,0
basement,593,316,81,2,4
bash,179,75,17,0,1
basic,238,177,4,0,1
basically,178,70,3,0,0
basics,119,65,11,0,0
basis,99,74,3,0,0
basket,208,92,10,3,1
basketball,133,79,36,0,3
bass,1739,1572,100,7,19
bassline,37,95,1,0,1
bastard,757,202,22,1,10
bastards,502,132,39,2,4
bat,594,233,27,5,4
batch,123,55,8,0,0
bath,435,192,16,5,4
bathe,254,105,5,0,4
bathed,165,52,12,1,1
bathing,159,105,1,0,2
bathroom,644,320,17,3,4
batman,70,77,5,0,1
baton,114,42,8,0,0
bats,209,25,6,0,4
batter,139,70,0,1,0
battered,272,110,16,2,8
batteries,99,86,5,1,0
battery,194,63,5,2,0
battle,3168,1219,78,10,20
battlefield,244,155,4,1,5
battles,563,270,21,4,2
battling,107,45,1,0,0
bawl,125,17,20,0,1
bay,1307,585,59,16,16
bayou,200,96,3,12,1
bb,215,39,1,0,2
beach,1665,980,70,15,13
beaches,179,103,4,6,5
beacon,129,83,6,0,2
beads,156,29,9,6,1
