,2000s,2010s,1990s,1970s,1980s
forth,1465,618,127,7,9
fortress,239,135,6,1,1
fortunate,226,57,2,0,2
fortune,1207,485,51,25,23
fortunes,188,65,11,2,3
forty,1399,519,95,11,21
forward,1479,830,32,10,34
forwards,129,50,2,0,0
foster,95,19,7,0,0
fought,1163,442,40,5,10
foul,633,166,13,2,3
found,17253,7326,805,225,188
foundation,377,143,16,2,2
foundations,87,28,4,0,0
fountain,451,159,13,5,5
fountains,101,31,2,0,2
four,6465,2625,236,45,61
fours,216,94,1,1,0
fourteen,312,90,7,1,5
fourth,423,223,22,6,5
fox,540,174,46,3,18
foxxx,119,1,0,0,1
foxy,191,19,25,3,3
fraction,98,51,5,0,0
fractured,132,35,5,1,1
fragile,730,285,12,5,3
fragments,207,64,7,2,1
fragrance,108,66,1,1,0
frail,348,73,13,1,2
frame,1216,557,40,7,9
framed,185,94,2,1,4
frames,196,123,9,0,0
france,335,148,28,2,7
francisco,230,124,12,1,8
frank,643,232,26,3,2
frankenstein,94,22,2,0,1
frankie,154,86,32,1,2
franklin,129,82,3,0,2
frankly,81,33,4,0,1
frantic,194,48,2,2,4
fraud,183,101,2,0,1
fray,86,58,3,0,0
freak,2801,1503,88,14,6
freakin,364,115,3,0,2
freaking,176,181,2,1,0
freaks,729,269,28,4,3
freakshow,79,61,0,0,0
freaky,1020,428,32,1,0
fred,294,118,10,2,3
freddie,199,63,4,0,2
freddy,195,31,3,0,0
free,21506,9688,841,256,209
freed,202,103,8,2,1
freedom,4349,1723,181,34,62
freedoms,166,56,19,1,2
freely,255,126,21,0,1
freestyle,232,87,5,1,0
freeway,442,153,18,2,18
freeze,1166,414,40,12,7
freezer,93,76,1,0,0
freezes,101,24,2,0,3
freezin,95,74,3,0,2
freezing,559,193,10,3,1
freight,359,146,28,2,1
french,722,389,20,6,6
frenzy,186,46,5,1,8
frequency,167,83,2,0,0
fresh,2810,1569,85,13,8
fresher,82,143,3,0,1
fret,152,119,7,1,1
friction,146,63,3,0,1
friday,1540,790,76,22,23
fridays,77,43,4,0,0
fridge,139,68,2,1,2
fried,362,155,15,10,7
friend,14222,5719,647,249,122
friendly,708,211,15,7,4
friends,14119,6674,617,158,116
friendship,507,178,25,11,0
friendships,106,35,2,0,0
fries,236,78,3,0,2
fright,451,128,11,17,9
frighten,103,48,17,2,1
frightened,553,192,25,7,7
frightening,271,85,12,2,6
frigid,82,36,0,0,0
frisco,156,52,9,1,1
fro,214,69,10,6,2
frog,190,94,16,2,1
frogs,88,24,3,0,1
front,6766,2979,270,26,37
frontier,179,32,6,0,1
frontin,780,219,37,0,6
fronting,200,109,12,0,0
frost,593,158,26,4,5
frosty,240,54,12,0,1
frown,704,266,28,9,10
frowns,111,30,2,3,1
froze,417,220,22,2,3
frozen,1704,768,52,10,8
fruit,747,295,21,6,4
fruits,165,64,9,1,5
frustrated,257,80,9,0,1
frustration,449,108,12,2,1
fry,396,121,22,0,3
frying,94,44,2,0,0
ft,39,204,5,1,0
fu,279,166,8,12,0
fuck,23680,16863,673,9,56
fucka,192,60,3,0,0
fuckas,97,18,5,0,0
fucked,3354,1780,96,0,19
fucken,54,62,1,0,0
fucker,628,312,25,0,1
fuckers,315,96,7,1,0
fuckin,7109,3120,212,2,18
fucking,7581,5400,117,0,37
fucks,372,296,9,0,1
fuel,547,212,12,2,8
fueled,111,29,3,0,1
fuels,89,25,1,1,0
fulfill,372,154,11,2,7
fulfilled,215,60,10,0,1
fulfilling,97,37,3,0,0
full,10390,4860,364,89,82
fullest,135,65,2,0,0
fully,540,253,16,1,4
fumble,99,48,4,0,0
fumes,156,54,5,1,1
fun,8202,3398,268,137,160
function,271,195,12,0,1
fundamental,101,26,1,0,0
funds,178,72,5,0,0
funeral,756,329,22,10,5
funk,2086,489,134,73,10
funkin,55,73,6,3,1
funkmaster,113,3,1,0,0
funky,2084,535,241,84,18
funny,4420,1878,202,55,33
fur,300,137,12,3,1
furious,194,70,4,0,0
furnace,123,135,5,1,2
furniture,123,79,8,0,3
furs,110,32,7,1,1
fury,536,162,12,1,4
fuse,454,198,27,7,8
fuss,558,193,16,4,4
fussin,108,39,1,0,0
fussing,75,34,10,25,0
futile,160,38,8,0,5
future,5655,2520,165,56,63
futures,553,252,22,4,3
fuzz,128,28,7,0,0
fuzzy,136,65,9,1,1
g6,2,116,0,0,0
ga,440,432,5,1,2
gabriel,105,42,5,0,0
gag,109,56,5,0,0
gagged,106,16,2,1,0
gain,1491,468,48,11,5
gained,372,120,11,3,5
gaining,163,72,5,2,1
gains,87,33,5,1,1
gal,2227,618,135,12,11
galaxy,262,150,5,0,1
gale,88,29,6,3,0
gallery,154,42,2,5,1
gallon,107,34,3,0,0
gallows,145,70,7,1,0
galore,126,46,6,0,2
gals,153,39,10,3,1
gamble,357,104,12,2,4
gambled,81,24,5,0,2
gambler,213,72,13,7,6
gamblin,134,67,5,2,1
gambling,150,67,6,3,3
game,15054,6994,450,127,91
games,3036,1462,122,27,31
gang,1461,1223,53,6,21
gangs,163,57,3,0,1
gangsta,2618,546,50,0,0
gangstas,555,133,6,0,0
gangster,448,253,7,0,0
gangsters,132,84,8,0,2
ganja,134,95,6,0,0
gap,176,88,11,3,5
gaping,87,37,3,0,3
garage,320,164,12,1,2
garbage,525,222,30,2,3
garden,1759,713,96,21,20
gardens,214,45,5,2,2
gary,238,46,3,0,7
gas,1626,785,44,9,38
gasoline,492,285,16,0,2
gasp,138,37,1,0,3
gasping,139,38,7,0,4
gassed,106,80,2,0,0
gat,988,261,40,0,1
gate,1374,423,79,13,8
gates,1506,542,47,7,16
gather,1442,529,45,16,16
gathered,545,186,22,4,6
gathering,390,125,16,1,4
gator,105,40,14,0,0
gators,164,47,1,0,1
gats,535,55,8,0,0
gauge,341,80,4,0,2
gave,10368,5178,452,126,83
gay,1037,377,43,13,9
gaye,73,70,3,0,1
gaze,893,325,27,6,13
gazed,160,34,10,2,1
gazing,236,86,3,3,0
gd,83,43,0,0,0
ge,83,175,1,0,0
geah,133,2,0,0,0
gear,566,220,30,3,3
gears,206,121,10,1,2
gee,444,250,49,12,3
geek,84,31,3,1,0
geese,89,60,2,0,0
gem,120,35,6,1,0
gemini,94,46,1,0,0
gems,103,28,4,0,2
gene,136,16,5,0,1
general,426,149,11,3,14
generals,89,27,0,4,6
generate,70,43,5,2,0
generation,1158,520,17,5,30
generations,242,63,9,0,0
generous,77,44,1,1,1
genesis,111,40,1,1,0
genie,153,130,2,17,0
genius,536,206,10,1,4
genocide,302,68,10,3,1
gentle,1316,412,74,15,17
gentleman,272,154,8,2,1
gentlemen,591,233,35,9,2
gently,886,306,47,16,14
genuine,212,67,12,4,1
george,673,204,12,8,2
georgia,697,380,27,20,4
georgie,81,11,16,0,9
german,165,48,2,0,3
germany,137,19,4,0,13
gesture,98,41,7,5,0
get,138082,73158,5518,1240,1184
getaway,231,203,4,1,1
getcha,646,191,7,1,11
geto,132,2,1,0,0
gets,8739,3667,329,68,80
getter,91,94,4,0,0
gettin,7775,3441,259,62,49
getting,12363,8683,433,110,113
geu,6,111,0,0,0
gga,53,323,0,0,0
ggas,28,235,0,0,0
ghetto,3234,687,209,22,3
ghettos,101,18,5,0,0
ghost,2552,1880,91,9,13
ghostly,148,53,7,2,0
ghosts,858,522,30,5,2
ghouls,131,42,3,0,0
gi,148,81,4,0,0
giant,555,265,14,11,10
giants,160,105,6,0,0
giddy,390,175,30,0,4
gift,1852,772,75,6,10
gifted,229,111,15,0,0
gifts,507,163,23,3,3
gig,132,52,6,1,2
giggle,120,50,7,2,1
giggles,139,7,0,0,0
gimme,4676,2016,117,48,40
gimmick,94,48,8,0,0
gimmie,211,173,6,1,0
gin,772,292,31,8,6
ginger,105,63,6,0,0
girl,48796,30601,2292,377,442
girlfriend,1716,652,47,11,5
girlfriends,366,175,16,1,1
girlie,84,53,12,2,3
girlies,113,36,24,0,3
girls,11813,7444,380,157,137
girly,66,43,20,4,1
git,330,142,8,6,4
give,52601,27126,2160,520,415
given,3468,1478,146,32,29
giver,130,57,9,0,0
gives,2522,1011,116,34,20
givin,2314,542,123,14,26
giving,4676,3158,185,45,58
glad,3888,1540,172,80,57
gladly,388,186,26,5,8
gladness,125,30,8,3,3
glamor,91,35,1,0,0
glamorous,177,47,5,1,0
glamour,184,63,3,0,2
glance,727,230,21,10,2
glances,151,56,3,2,0
glare,244,78,7,2,0
glass,3782,1960,99,31,36
glasses,563,279,10,8,3
glazed,86,23,5,0,0
gleam,349,114,6,3,3
gleaming,270,78,8,6,5
gleams,119,32,10,0,0
glee,104,53,5,0,2
glen,162,34,15,1,0
glide,349,126,19,5,3
gliding,138,54,4,2,0
glimmer,115,62,3,1,2
glimpse,431,182,13,3,4
glisten,177,52,13,1,3
glistening,189,77,8,0,1
glitter,331,177,4,2,1
glittering,99,25,2,1,1
glitters,105,53,2,0,4
glo,45,107,0,0,0
global,266,101,4,2,0
globe,290,194,15,2,1
glock,1041,440,20,0,0
glocks,385,78,16,0,0
gloom,446,195,30,6,4
gloomy,226,55,13,1,0
gloria,287,117,33,0,0
glories,142,54,7,1,0
glorified,110,30,1,0,0
glorify,125,41,4,0,0
glorious,707,383,22,4,2
glory,3966,1823,175,21,42
gloss,95,38,2,0,0
glove,465,205,19,5,16
gloves,263,159,13,4,3
glow,1657,944,56,23,36
glowin,89,34,6,1,0
glowing,557,336,13,7,6
glows,257,122,11,2,6
glue,435,196,12,2,5
glued,176,68,3,1,0
go,112958,65337,4792,1068,1081
goal,730,324,27,9,10
goals,326,151,2,0,1
goat,281,84,12,3,4
god,23758,12018,1094,190,141
goddamn,768,423,24,1,1
goddess,411,184,12,1,0
godless,127,30,1,0,0
godly,80,37,2,1,0
gods,3961,1097,160,18,15
goes,13923,6241,584,140,156
goin,10178,3929,489,99,93
going,24702,13402,1086,287,231
gold,6132,4037,263,75,65
golden,3136,1359,123,53,42
golf,135,87,7,6,0
golly,174,62,6,2,0
gon,7638,6476,130,23,1
gone,34656,16370,1416,305,308
gong,232,45,3,1,2
gonna,65200,32278,3535,866,694
goo,411,174,43,1,12
good,47627,24241,2546,715,475
goodbye,10652,4758,476,153,79
goodbyes,463,264,21,8,1
goodies,230,54,12,0,0
goodness,527,278,56,9,12
goodnight,1332,690,126,7,4
goods,333,106,8,9,2
goody,269,117,9,0,0
goofy,49,92,2,0,0
goon,77,82,1,0,2
goons,109,162,1,0,0
goose,383,215,26,12,2
gore,336,41,3,0,1
gorgeous,269,146,10,3,2
gorilla,152,96,6,0,1
gorillas,98,37,1,0,0
gosh,172,84,5,9,2
gospel,321,136,14,2,2
gossip,289,196,8,1,1
got,138715,75619,6561,1751,1353
gotcha,387,73,12,0,0
gots,993,151,25,0,2
gotta,31838,17672,1221,262,329
gotten,576,222,20,7,2
gotti,189,82,3,0,2
government,983,291,34,3,14
governments,141,27,4,0,1
gown,363,124,17,2,2
grab,3168,1555,108,11,18
grabbed,672,206,38,5,0
grabbin,168,46,3,1,0
grabbing,150,85,1,0,1
grabs,166,87,8,2,0
grace,3509,1559,90,21,18
graceful,144,54,5,1,1
gracefully,106,42,4,1,0
graces,82,49,2,0,0
gracious,158,94,6,5,0
grade,539,251,18,3,7
grades,79,32,2,1,0
gradually,84,29,0,1,0
graduate,87,36,4,2,0
graduated,93,97,4,0,3
graduation,96,50,2,0,1
graffiti,161,62,4,1,1
grail,88,63,1,0,1
grain,715,247,14,6,5
grains,147,47,1,0,0
gram,110,135,3,1,1
grammar,92,36,6,0,1
grammy,103,97,0,0,0
grams,242,161,3,0,0
grand,1761,716,76,29,13
grande,129,36,6,2,6
grandfather,94,41,2,3,2
grandma,427,298,9,2,1
grandmas,139,85,17,0,0
grandmother,120,32,1,1,0
grandpa,207,85,8,3,0
grands,88,38,6,0,0
granite,79,38,4,0,0
granny,144,99,16,0,0
grant,406,184,20,15,4
granted,944,394,56,4,8
grape,114,67,6,0,1
grapes,142,55,5,0,3
grapevine,131,99,2,0,1
gras,57,47,5,2,2
grasp,503,186,19,1,10
grasping,110,40,2,0,0
grass,1893,836,74,28,13
grateful,459,233,23,8,0
gratitude,116,56,10,0,24
grave,3218,1361,121,37,27
gravel,169,104,2,0,2
graves,639,244,17,6,4
graveyard,448,191,26,1,3
gravity,656,491,13,0,1
gravy,298,76,6,4,1
gray,1859,686,75,9,12
grease,391,88,9,2,1
greasy,254,68,9,2,2
great,7601,3129,333,73,71
greater,755,521,29,9,1
greatest,1672,855,118,32,9
greatness,137,103,5,0,0
greed,1394,377,38,4,9
greedy,473,239,8,0,4
greek,109,39,10,0,3
green,5658,2190,190,90,26
greener,277,206,10,0,1
greens,197,112,15,0,1
greet,652,212,34,8,3
greeting,89,22,6,1,0
greetings,106,34,5,0,0
greg,103,24,1,0,0
grenade,153,69,1,0,1
grew,1740,936,71,13,16
grey,2261,797,69,27,14
greyhound,164,53,9,4,0
grief,1021,255,37,3,4
grieve,326,95,12,2,1
grieving,226,81,11,7,1
grill,752,270,7,0,4
grim,413,102,5,4,8
grime,93,102,0,0,0
grimey,51,91,1,0,0
grimy,127,32,2,0,0
grin,817,319,35,7,5
grind,1707,1150,27,6,7
grindin,499,185,4,0,0
grinding,366,273,7,1,4
grinning,168,66,7,3,0
grins,87,24,6,1,2
grip,1499,635,35,11,9
gripped,86,42,2,3,0
grippin,174,71,3,0,0
gripping,123,99,1,0,0
grips,196,101,5,1,1
grit,107,63,3,2,1
grits,128,44,3,1,1
gritty,147,70,9,1,2
groan,104,39,4,0,2
groceries,87,33,3,3,2
grocery,125,56,3,1,1
groom,89,38,13,2,1
groove,1859,616,129,45,29
grooves,106,47,9,0,0
groovin,261,128,20,8,0
grooving,180,82,50,6,0
groovy,287,109,24,9,3
gross,130,51,1,1,1
grotesque,92,19,1,1,0
ground,11271,5446,444,78,109
grounded,126,76,3,0,0
grounds,289,130,16,2,0
group,583,224,27,5,12
groupie,200,198,4,1,0
groupies,149,103,4,0,0
groups,177,37,4,6,1
grove,244,104,8,0,1
grow,6253,2884,287,114,58
growin,565,130,18,5,6
growing,2767,1370,116,31,16
growl,72,53,2,1,1
grown,2790,1221,96,27,16
grows,2007,713,105,26,25
growth,155,56,5,0,5
grudge,202,63,6,1,1
gs,1301,388,30,0,2
guap,16,185,0,0,1
guarantee,603,354,18,5,10
guaranteed,570,191,27,9,1
guarantees,91,38,0,0,0
guard,1066,469,40,3,3
guarded,129,55,2,1,2
guardian,315,93,14,1,3
guardians,96,16,4,5,1
guards,250,102,5,3,1
gucci,481,573,5,0,4
guess,11414,5328,462,91,94
guessed,206,81,13,1,4
guessin,97,53,4,0,0
guessing,258,219,9,1,1
guest,386,134,9,7,2
guests,125,32,3,2,1
guh,125,36,0,0,0
guidance,191,94,2,3,1
guide,2036,896,78,13,23
guided,200,94,8,0,0
guides,195,92,9,0,0
guiding,460,183,17,10,1
guillotine,106,53,2,4,1
guilt,937,290,28,4,6
guilty,1532,672,53,9,20
guinness,78,39,1,1,3
guitar,2990,997,150,66,47
guitars,478,154,25,1,10
gulf,164,31,2,1,5
gully,104,41,0,0,3
gum,354,157,9,0,3
gums,101,44,0,0,0
gun,7318,2915,324,76,83
gunna,328,216,2,0,0
gunnin,128,37,3,1,0
gunning,71,45,2,2,2
guns,3233,1193,132,14,27
gunshot,131,50,4,1,1
gunshots,136,36,2,0,0
gurl,266,33,0,0,0
guru,234,53,25,2,8
gut,511,141,14,0,4
guts,893,324,31,2,10
gutta,106,54,0,0,0
gutter,643,221,20,1,8
guy,4926,2271,128,46,27
guys,2504,1091,62,17,13
gwaan,128,30,11,0,0
gwan,120,59,4,1,0
gyal,61,422,1,0,0
gym,179,123,2,2,1
gypsy,652,231,43,11,7
ha,8157,2932,339,116,122
haa,100,67,9,0,1
habit,706,345,44,3,3
habits,298,144,22,4,0
hack,233,84,3,0,3
hades,105,22,3,0,2
hae,103,78,0,0,0
haffi,184,106,11,0,0
hah,703,285,29,1,12
haha,577,349,22,0,0
hahaha,176,124,6,0,5
hahahaha,89,37,3,0,1
hai,85,129,1,0,0
hail,1123,405,36,24,4
hair,7304,3354,304,57,76
haircut,115,42,13,0,0
haired,250,58,10,4,3
hairs,296,127,15,2,1
hairy,149,35,6,2,1
half,6913,2891,257,54,35
halfway,560,271,8,4,2
hall,1683,504,71,10,16
halle,73,57,1,0,0
hallelujah,1844,1124,32,23,5
hallowed,189,63,19,2,0
halloween,237,122,44,1,1
halls,593,241,13,4,6
hallucination,104,20,1,0,0
hallway,320,171,9,1,2
hallways,120,62,5,0,3
halo,618,434,11,0,0
halt,135,40,8,0,0
ham,178,172,21,4,3
hammer,1164,518,129,7,20
hammers,187,89,3,4,4
han,80,137,4,0,0
hand,22641,9797,1026,235,236
handcuffs,107,65,5,0,1
handed,513,236,18,1,1
handful,195,99,7,3,0
handing,96,43,5,2,1
handle,2120,1035,88,11,16
handled,86,43,7,0,0
handles,94,48,1,1,1
handling,78,39,1,1,0
hands,18110,10375,676,106,127
handshake,77,28,1,6,2
handsome,492,226,18,4,6
handy,131,68,22,2,4
hang,5256,1962,192,99,33
hangin,1673,591,80,38,38
hanging,3147,1605,156,27,49
hangman,73,39,1,1,1
hangover,132,111,8,10,0
hangs,466,157,21,10,11
hank,185,55,6,0,2
happen,3863,1830,157,22,34
happened,3526,1528,118,42,34
happenin,411,124,18,5,2
happening,1296,736,47,15,10
happens,2006,1097,73,18,10
happier,245,103,10,1,0
happiest,168,59,11,0,1
happily,249,151,10,3,0
happiness,2578,955,102,61,34
happy,11648,5023,483,166,138
har,286,34,2,0,0
harbor,233,94,9,0,1
harbour,107,19,12,2,1
hard,26579,13103,1214,227,323
hardcore,654,127,19,0,4
hardened,116,60,4,0,2
harder,2617,1548,81,13,14
hardest,923,412,40,8,3
hardly,1426,629,65,16,10
hare,180,33,7,20,0
hark,223,72,9,0,3
harlem,499,249,29,18,6
harley,72,58,5,0,2
harm,1288,559,65,17,9
harmless,118,30,4,1,0
harmonica,86,20,13,1,1
harmony,1155,425,41,15,15
harp,149,51,15,2,0
harris,101,31,2,2,2
harry,340,127,10,3,6
harsh,197,98,9,0,1
harvest,468,111,6,8,1
hash,203,99,9,0,1
hassle,102,30,1,1,0
hast,98,26,2,0,0
haste,215,65,15,2,2
hat,1769,774,77,15,16
hatch,79,55,3,0,0
hatchet,173,25,1,1,1
hate,13869,6550,402,61,103
hated,762,294,22,4,3
hateful,205,48,3,7,1
hater,456,413,16,0,5
haters,1387,1471,13,4,1
hates,485,193,17,0,6
hath,205,61,6,1,1
hatin,725,584,17,0,0
hating,639,634,12,1,0
hatred,1398,336,46,7,13
hats,392,104,12,0,7
haul,200,103,9,5,3
haunt,863,405,36,4,7
haunted,758,406,33,2,2
haunting,737,372,24,2,5
haunts,397,158,8,3,5
havana,78,36,3,0,0
havin,1307,446,83,7,11
havoc,150,72,9,1,2
haw,132,125,24,0,0
hawaii,138,65,7,7,0
hawk,273,63,8,1,1
hay,648,223,21,8,2
haze,872,371,32,10,15
hazy,341,151,12,11,1
head,29164,13934,1167,306,263
headache,244,73,2,3,0
headed,1660,680,76,9,20
headin,387,104,22,1,5
heading,1130,482,60,8,1
headless,111,21,2,0,1
headlights,361,192,15,2,16
headline,128,41,14,0,1
headlines,253,90,12,3,3
headphones,137,175,6,0,0
heads,3088,1191,98,28,34
heal,2187,982,62,5,6
healed,230,153,14,0,0
healer,168,110,27,1,1
healing,880,387,22,2,20
heals,293,161,16,0,2
health,681,238,26,2,11
healthy,331,114,23,1,1
heap,218,56,6,2,1
hear,33239,15034,1476,432,375
heard,13353,5585,540,96,135
hearin,436,92,16,0,1
hearing,1053,565,36,5,5
hears,670,290,24,7,6
hearse,212,100,4,0,1
heart,60774,31879,2888,496,570
heartache,1481,517,90,11,11
heartaches,681,128,14,7,9
heartbeat,1037,936,40,4,12
heartbeats,113,75,4,0,0
heartbreak,512,405,25,3,6
heartbreaker,229,89,2,0,18
heartbroken,97,40,1,0,0
hearted,872,479,63,7,10
heartless,344,196,6,1,0
hearts,8623,4633,390,73,122
heat,4720,1735,190,24,62
heated,219,62,11,1,2
heater,181,71,9,0,0
heaters,102,27,3,0,0
heathen,152,55,5,42,2
heather,152,41,2,0,0
heating,68,116,1,0,0
heats,120,55,5,0,1
heave,139,38,5,2,2
heaven,12011,4526,515,90,157
heavenly,1199,435,62,40,6
heavens,2438,960,81,26,49
heavier,84,34,2,0,0
heavily,129,46,6,0,1
heavy,3094,1817,147,22,39
heavyweight,81,34,1,0,2
heck,211,60,5,0,2
hectic,143,38,6,1,1
hed,2483,568,126,44,30
hee,391,105,20,8,9
heed,504,146,30,22,9
heel,273,109,21,0,3
heeled,76,28,8,3,1
heels,953,537,48,6,7
heh,535,102,19,4,2
height,229,142,11,2,3
heights,362,212,9,0,4
heir,91,39,1,1,1
held,4102,1775,153,29,36
helen,90,24,1,0,0
helicopter,131,52,1,0,2
helicopters,92,22,0,0,0
hell,17955,7322,618,131,186
hella,291,391,9,1,0
hellish,127,17,3,2,2
hello,3948,2319,175,43,24
hells,362,161,24,0,13
helmet,98,47,3,0,1
help,15537,6645,637,288,141
helped,647,267,28,7,10
helpin,144,85,8,1,0
helping,670,216,25,8,5
helpless,1011,336,26,4,8
helplessly,124,24,4,1,0
helps,685,241,20,4,3
helter,102,21,11,1,1
hem,81,30,10,0,0
hen,170,57,7,2,1
hendrix,59,61,1,0,0
hennessey,144,44,1,0,0
hennessy,195,247,0,0,0
henny,200,207,0,0,0
henry,291,102,46,8,6
hens,77,51,0,0,0
hep,140,82,4,0,4
herald,169,47,2,1,0
herb,309,108,21,2,2
herbs,124,30,2,1,0
hercules,42,64,20,0,0
herd,233,76,12,0,0
heres,4452,1974,203,24,60
hero,1984,890,65,10,25
heroes,1021,425,19,27,14
heroin,282,105,16,0,1
heros,122,24,3,0,1
hes,24395,7430,1203,318,325
hesitate,749,299,27,4,3
hesitating,91,59,14,2,2
hesitation,329,140,16,0,0
hey,31745,16795,1612,508,394
heya,106,11,3,1,0
hi,1683,923,66,34,14
hickory,112,35,2,0,0
hid,460,254,32,3,5
hidden,1594,531,43,4,14
hide,10862,4815,429,109,91
hideaway,159,82,6,0,1
hideous,146,18,3,4,2
hides,655,204,18,6,2
hidin,313,130,21,1,1
hiding,2159,1124,90,40,22
high,19623,11613,928,196,221
higher,4122,2866,179,25,33
highest,841,373,34,8,5
highly,213,109,9,2,0
highs,219,191,10,1,0
highway,2298,850,186,59,29
highways,243,70,18,2,1
hike,187,43,12,0,2
hill,2939,1060,135,41,25
hillbilly,194,87,5,0,7
hills,1631,657,82,11,18
hillside,169,63,18,3,6
hint,217,91,6,1,0
hip,3064,1043,135,12,18
hippie,139,39,1,0,1
hippies,120,28,3,2,0
hippy,121,47,1,0,0
hips,1132,499,26,5,9
hire,224,98,14,0,4
hired,145,40,8,2,2
hiss,90,34,4,0,0
history,2578,1051,77,9,14
hit,15268,9209,518,48,86
hitch,233,68,5,3,2
hitler,120,54,2,1,5
hits,1764,777,107,4,15
hittin,793,319,18,1,0
hitting,491,318,19,2,2
hive,129,49,5,0,1
hm,265,134,87,24,6
hmm,1173,613,73,29,4
hmmm,198,122,18,3,1
ho,4432,2983,199,33,69
hobby,131,81,6,1,0
hobo,105,34,31,1,0
hockey,158,65,2,0,0
hocus,67,53,2,0,0
hoe,2436,1072,94,0,2
hoes,4012,3114,100,0,2
hog,264,74,13,4,1
hoh,94,44,0,0,2
hol,81,105,1,0,0
hola,27,122,0,0,0
hold,32388,16650,1342,268,340
holdin,1718,561,75,11,16
holding,6266,3640,232,41,46
holds,1696,599,67,14,13
hole,3845,1665,153,21,39
holes,1182,487,49,8,10
holiday,1181,548,45,7,38
holidays,228,98,13,0,1
holiness,109,25,3,1,0
holla,1629,588,13,0,0
holler,656,287,32,5,6
hollered,81,32,9,1,2
hollerin,163,34,6,0,2
hollering,71,49,1,0,0
hollow,1671,579,66,13,4
hollows,120,42,2,0,1
holly,325,180,30,0,1
hollywood,1367,683,41,24,5
holmes,79,48,2,0,1
holocaust,221,34,2,1,3
holster,81,42,3,0,0
holy,4646,1914,262,42,49
homage,82,38,0,0,0
home,38036,17678,1728,456,476
homeboy,381,134,19,0,3
homeboys,256,59,11,0,3
homecoming,101,39,4,0,0
homeland,91,21,2,5,0
homeless,427,172,16,0,3
homemade,112,40,7,0,0
homes,699,311,25,6,14
homesick,139,41,5,0,0
hometown,311,163,23,3,1
homeward,155,64,14,6,2
homework,155,46,4,1,0
homey,527,102,20,0,0
homicide,339,145,12,0,0
homie,1583,1481,26,8,3
homies,1288,660,60,1,0
homo,128,42,2,3,0
hon,177,39,10,0,0
honda,86,100,3,0,0
honest,1194,879,53,1,4
honestly,467,409,7,0,1
honesty,626,217,14,0,2
honey,7307,2980,527,119,124
honeycomb,95,21,2,2,2
honeymoon,301,74,9,1,2
honeys,264,59,9,0,0
hong,93,32,2,6,1
honky,613,141,39,24,11
honor,908,437,50,2,3
honour,199,78,8,0,0
hoo,1521,880,95,39,30
hoochie,193,48,4,8,1
hood,4510,2335,112,3,2
hoodie,71,71,1,0,0
hoods,161,47,8,0,1
hook,2349,1504,46,2,14
hooked,839,313,23,8,14
hooker,142,37,10,1,1
hookers,96,28,6,0,0
hooks,194,94,7,5,3
hooo,94,37,8,4,0
hoooo,93,37,2,1,1
hoop,243,84,3,1,12
hoops,88,34,8,2,0
hooray,246,98,3,2,18
hoot,55,59,3,0,0
hooves,92,30,10,1,0
hop,2947,1354,95,2,12
hope,17235,9071,527,126,143
hoped,548,239,24,7,1
hopeful,222,110,4,1,2
hopefully,179,157,5,0,3
hopeless,881,502,21,4,4
hopelessly,152,72,4,1,0
hopelessness,94,15,3,1,0
hopes,1680,690,69,26,14
hopin,858,257,49,10,5
hoping,2548,1506,95,26,23
hopped,189,150,8,0,2
hoppin,234,91,10,0,1
hopping,113,88,2,0,3
hops,130,44,5,0,1
horde,97,25,2,0,0
hordes,177,19,5,1,2
horizon,1074,431,38,4,18
horizons,243,122,9,0,5
horn,574,207,29,3,5
horns,463,200,42,3,7
horny,301,170,31,5,1
horrible,252,80,10,2,1
horrid,124,15,1,0,0
horror,690,171,19,2,8
horrors,135,52,1,0,1
horse,1998,687,105,35,17
horses,1019,405,37,3,4
hos,377,143,8,0,0
hosanna,79,78,11,0,0
hose,123,55,9,5,1
hospital,425,176,8,1,1
host,417,150,9,2,2
hostage,137,71,2,0,0
hostile,211,48,3,0,1
hosts,99,31,4,1,0
hot,12168,5290,409,68,165
hotel,1114,567,41,11,15
hotels,104,39,9,1,0
hotter,642,470,25,2,2
hottest,253,201,13,0,4
hottie,131,104,3,1,0
houdini,55,62,0,0,0
hound,319,108,22,1,17
hounds,164,60,6,0,4
hour,3755,1505,160,51,44
hourglass,170,84,3,0,1
hours,3406,1357,145,39,34
house,11287,5079,527,68,109
houses,614,241,19,2,15
housing,82,41,2,1,0
houston,418,148,25,0,1
hov,64,57,0,0,0
hover,95,70,1,3,1
hovering,117,53,0,2,0
howard,251,48,16,4,4
howd,362,208,7,1,6
howdy,100,18,4,1,0
however,518,329,21,3,5
howl,317,179,20,3,3
howlin,156,52,12,1,1
howling,420,179,18,4,4
howls,108,25,5,0,1
hows,611,256,37,4,6
hu,173,110,7,0,1
huddled,96,34,3,1,3
hue,104,41,9,4,0
huff,112,34,4,0,0
hug,813,420,48,8,3
huge,310,91,9,1,1
hugged,85,30,7,0,0
huggin,304,80,17,5,0
hugging,153,69,9,6,0
hugh,72,65,0,0,0
hugs,251,122,11,0,0
huh,6307,2690,245,36,70
hum,660,173,19,8,3
human,4736,1519,160,18,48
humanity,663,220,8,3,5
humankind,81,30,1,0,1
humans,432,116,4,2,4
humble,609,277,24,2,3
humility,105,34,4,0,0
hummer,175,49,3,0,0
hummin,175,84,6,1,4
