"year","ranking","artist","title"
1968,36,"Sérgio Mendes","The Look of Love"
1968,37,"Johnny Nash","Hold Me Tight"
1968,38,"Ohio Express","Yummy Yummy Yummy"
1968,39,"The Crazy World of Arthur Brown","Fire"
1968,40,"The Troggs","Love Is All Around"
1968,41,"Gene & Debbe","Playboy"
1968,42,"Dionne Warwick","(Theme from) Valley of the Dolls"
1968,43,"Mason Williams","Classical Gas"
1968,44,"Clarence Carter","Slip Away"
1968,45,"The O'Kaysions","Girl Watcher"
1968,46,"Aretha Franklin","(Sweet Sweet Baby) Since You've Been Gone"
1968,47,"The Lemon Pipers","Green Tambourine"
1968,48,"1910 Fruitgum Company","1, 2, 3, Red Light"
1968,49,"Friend & Lover","Reach out of the Darkness"
1968,50,"The Rolling Stones","Jumpin' Jack Flash"
1968,51,"Richard Harris","MacArthur Park"
1968,52,"José Feliciano","Light My Fire"
1968,53,"People!","I Love You"
1968,54,"Percy Sledge","Take Time to Know Her"
1968,55,"Status Quo","Pictures of Matchstick Men"
1968,56,"Blue Cheer","Summertime Blues"
1968,57,"Marvin Gaye & Tammi Terrell","Ain't Nothing Like the Real Thing"
1968,58,"James Brown","I Got the Feelin'"
1968,59,"The Bee Gees","I've Gotta Get a Message to You"
1968,60,"The Beatles","Lady Madonna"
1968,61,"Donovan","Hurdy Gurdy Man"
1968,62,"Steppenwolf","Magic Carpet Ride"
1968,63,"The Fireballs","Bottle of Wine"
1968,64,"The Dells","Stay in My Corner"
1968,65,"Willie Mitchell","Soul Serenade"
1968,66,"Tom Jones","Delilah"
1968,67,"The Human Beinz","Nobody but Me"
1968,68,"Sam & Dave","I Thank You"
1968,69,"Sérgio Mendes","The Fool on the Hill"
1968,70,"The Animals","Sky Pilot"
1968,71,"The Cowsills","Indian Lake"
1968,72,"Tommy Boyce & Bobby Hart","I Wonder What She's Doing Tonight"
1968,73,"Gary Puckett & The Union Gap","Over You"
1968,74,"The Lettermen","Goin' Out of My Head/Can't Take My Eyes Off You"
1968,75,"Stevie Wonder","Shoo-Be-Doo-Be-Doo-Da-Day"
1968,76,"The Irish Rovers","The Unicorn"
1968,77,"Vanilla Fudge","You Keep Me Hangin' On"
1968,78,"The Beatles","Revolution"
1968,79,"Gary Puckett & The Union Gap","Woman, Woman"
1968,80,"The Turtles","Elenore"
1968,81,"Cream","White Room"
1968,82,"Marvin Gaye & Tammi Terrell","You're All I Need to Get By"
1968,83,"The Foundations","Baby, Now That I've Found You"
1968,84,"The Sweet Inspirations","Sweet Inspiration"
1968,85,"Smokey Robinson and the Miracles","If You Can Want"
1968,86,"The Mills Brothers","Cab Driver"
